code,title,slug,description,sector
CAR-146,Public Health Officer,public-health-officer,"Professional path as a certified Public Health Officer specializing within the Healthcare & Medical sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Healthcare & Medical
CAR-147,Specialist in (Biomedical Science And Technology),specialist-in-biomedical-science-and-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-148,Specialist in (Biomedical Science & Technology),specialist-in-biomedical-science-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-149,Specialist in Biomedical Sciences & Technology,specialist-in-biomedical-sciences-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-150,Specialist in Technology (Science Laboratory Techno...,specialist-in-technology-science-laboratory-techno,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-152,Medical Laboratory Scientist,medical-laboratory-scientist,"Professional path as a certified Medical Laboratory Scientist specializing within the Healthcare & Medical sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Healthcare & Medical
CAR-153,Specialist in (Occupational Health & Safety),specialist-in-occupational-health-safety,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-154,Specialist in Occupational Therapy,specialist-in-occupational-therapy,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-155,Specialist in (Manufacturing Engineering & Technology),specialist-in-manufacturing-engineering-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-156,Specialist in (Clothing Textile & Interior Design),specialist-in-clothing-textile-interior-design,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-157,Specialist in (Fashion Design And Textile Technology),specialist-in-fashion-design-and-textile-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-158,Specialist in Textile Technology & Applied Fashion ...,specialist-in-textile-technology-applied-fashion,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-159,Specialist in (Apparel & Fashion Technology),specialist-in-apparel-fashion-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-160,Specialist in Library And Information Science,specialist-in-library-and-information-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-161,Specialist in In Information Science,specialist-in-in-information-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-162,Specialist in Library & Information Science,specialist-in-library-information-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-163,Specialist in Library And Information Studies,specialist-in-library-and-information-studies,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-164,Supply Chain & Procurement Officer,supply-chain-procurement-officer,"Professional path as a certified Supply Chain & Procurement Officer specializing within the Business & Commerce sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Business & Commerce
CAR-165,Animal Scientist / Marine Biologist,animal-scientist-marine-biologist,"Professional path as a certified Animal Scientist / Marine Biologist specializing within the Agriculture & Environment sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Agriculture & Environment
CAR-166,Specialist in (Geography),specialist-in-geography,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-167,Specialist in Development Studies,specialist-in-development-studies,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-168,Specialist in (Applied Aquatic Science),specialist-in-applied-aquatic-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-169,Mining & Petroleum Engineer,mining-petroleum-engineer,"Professional path as a certified Mining & Petroleum Engineer specializing within the Engineering & Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Engineering & Technology
CAR-170,Specialist in (Financial Engineering),specialist-in-financial-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-171,Physicist / Meteorologist,physicist-meteorologist,"Professional path as a certified Physicist / Meteorologist specializing within the Sciences & Research sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Sciences & Research
CAR-172,Specialist in (Sugar And Agro Processing Technology),specialist-in-sugar-and-agro-processing-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-173,Specialist in Applied Computing,specialist-in-applied-computing,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-174,Data Scientist / Analyst,data-scientist-analyst,"Professional path as a certified Data Scientist / Analyst specializing within the Information Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Information Technology
CAR-175,Specialist in (Informatics),specialist-in-informatics,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-177,Specialist in Theology,specialist-in-theology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-178,Specialist in Theology In Pastoral Studies,specialist-in-theology-in-pastoral-studies,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-179,Specialist in (Communication And Public Relations),specialist-in-communication-and-public-relations,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-181,Specialist in (Paramedic Science),specialist-in-paramedic-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-182,Specialist in (Physiotherapy),specialist-in-physiotherapy,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-183,Specialist in (Soil Science),specialist-in-soil-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-184,Specialist in (Spatial Planning,specialist-in-spatial-planning,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-185,"Specialist in (Graphic, Communication And Advertising)",specialist-in-graphic-communication-and-advertising,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-186,Specialist in (Renewable Energy),specialist-in-renewable-energy,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-187,Specialist in Technology In Medical Engineering,specialist-in-technology-in-medical-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-188,Specialist in Technology In Marine Engineering,specialist-in-technology-in-marine-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-189,Financial Analyst,financial-analyst,"Professional path as a certified Financial Analyst specializing within the Finance & Insurance sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Finance & Insurance
CAR-190,Software Engineer,software-engineer,"Professional path as a certified Software Engineer specializing within the Information Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Information Technology
CAR-191,Specialist in (Health Records And Informatics),specialist-in-health-records-and-informatics,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-192,Specialist in (Health Records & Information Mgt.),specialist-in-health-records-information-mgt,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-193,Specialist in (Forensic Science),specialist-in-forensic-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-194,Specialist in (Optometry And Vision Sciences),specialist-in-optometry-and-vision-sciences,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-195,Specialist in (Medical Engineering),specialist-in-medical-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-196,Specialist in (Biomedical Engineering),specialist-in-biomedical-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-197,Specialist in Telecommunication,specialist-in-telecommunication,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-198,Specialist in (Geospatial Information Science),specialist-in-geospatial-information-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-199,Specialist in Geospatial Information Science And Re...,specialist-in-geospatial-information-science-and-re,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-200,Specialist in (Climate Change Adaptation And Sustai...,specialist-in-climate-change-adaptation-and-sustai,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-201,Specialist in ( Sustainable Energy & Climate Change...,specialist-in-sustainable-energy-climate-change,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-202,Specialist in Geoinformatics,specialist-in-geoinformatics,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-203,Specialist in (Geomatic Engineering),specialist-in-geomatic-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-204,Specialist in Applied Communication,specialist-in-applied-communication,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-205,Specialist in Computer Systems Engineering,specialist-in-computer-systems-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-206,Specialist in Technology In Building Construction,specialist-in-technology-in-building-construction,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-207,Specialist in Technology (Building Construction),specialist-in-technology-building-construction,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-208,Specialist in Laboratory Sciences,specialist-in-laboratory-sciences,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-209,Specialist in (Laboratory Science And Technology),specialist-in-laboratory-science-and-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-210,Specialist in (Health Promotion And Sports Science),specialist-in-health-promotion-and-sports-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-211,Specialist in (Health Promotion),specialist-in-health-promotion,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-212,Specialist in Technology (Telecommunication And Inf...,specialist-in-technology-telecommunication-and-inf,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-213,Specialist in (Renewable Energy Technology),specialist-in-renewable-energy-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-214,Specialist in Renewable Energy And Technology,specialist-in-renewable-energy-and-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-216,Specialist in Networks And Communication Systems,specialist-in-networks-and-communication-systems,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-217,Specialist in Public Policy And Administration,specialist-in-public-policy-and-administration,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-218,Specialist in Engineering (Geospatial Engineering),specialist-in-engineering-geospatial-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-219,Specialist in (Geospatial Engineering),specialist-in-geospatial-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-220,Specialist in (Marine Engineering),specialist-in-marine-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-221,Specialist in (Crop Protection),specialist-in-crop-protection,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-222,Specialist in (Microprocessor Technology And Instru...,specialist-in-microprocessor-technology-and-instru,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-223,Specialist in (Telecommunication And Information En...,specialist-in-telecommunication-and-information-en,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-224,Specialist in (Telecommunication & Inform. Tech),specialist-in-telecommunication-inform-tech,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-225,Specialist in Justice And Peace,specialist-in-justice-and-peace,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-226,Specialist in Applied Optics And Lasers,specialist-in-applied-optics-and-lasers,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-227,Specialist in Ba In Biblical Studies,specialist-in-ba-in-biblical-studies,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-228,Specialist in Engineering (Aeronautical Engineering),specialist-in-engineering-aeronautical-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-229,Specialist in Real Estate,specialist-in-real-estate,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-231,Specialist in (Land Administration),specialist-in-land-administration,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-232,Specialist in Automotive Technology,specialist-in-automotive-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-233,Mechatronics Automation Engineer,mechatronics-automation-engineer,"Professional path as a certified Mechatronics Automation Engineer specializing within the Engineering & Technology sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Engineering & Technology
CAR-234,Specialist in (Seed Science & Technology,specialist-in-seed-science-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-235,Specialist in Dental Technology,specialist-in-dental-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-236,Specialist in (Geology),specialist-in-geology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-238,Specialist in Technology (Chemical Engineering),specialist-in-technology-chemical-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-239,Specialist in (Exercise & Sport Science),specialist-in-exercise-sport-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-240,Specialist in Technology (Communication And Compute...,specialist-in-technology-communication-and-compute,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-241,Specialist in Urban And Regional Planning,specialist-in-urban-and-regional-planning,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-242,Specialist in Applied Science (Geo-Informatics),specialist-in-applied-science-geo-informatics,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-243,Specialist in Computer Technology,specialist-in-computer-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-245,Specialist in (Urban Design And Development),specialist-in-urban-design-and-development,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-246,Specialist in (Physical Therapy),specialist-in-physical-therapy,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-247,Specialist in Ba In Inter-Cultural Studies,specialist-in-ba-in-inter-cultural-studies,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-248,Specialist in Leather Technology,specialist-in-leather-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-249,Public Administration Specialist,public-administration-specialist,"Professional path as a certified Public Administration Specialist specializing within the Legal & Public Service sector. This track focuses on applied domain competencies, strategic analysis, and modern operational procedures derived from rigorous university or technical placement frameworks.",Legal & Public Service
CAR-250,Specialist in (Renewable Energy And Biofuels Techno...,specialist-in-renewable-energy-and-biofuels-techno,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-251,Specialist in Radiography,specialist-in-radiography,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-252,Specialist in Biomedical Science,specialist-in-biomedical-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-253,Specialist in Technology (Office Administration And...,specialist-in-technology-office-administration-and,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-254,Specialist in Laboratory Technology,specialist-in-laboratory-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-255,Specialist in Technology (Design),specialist-in-technology-design,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-256,Specialist in Engineering (Chemical And Process Eng...,specialist-in-engineering-chemical-and-process-eng,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-257,Specialist in Engineering (Chemical Engineering),specialist-in-engineering-chemical-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-258,Specialist in Genomic Science,specialist-in-genomic-science,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-259,Specialist in (Control And Instrumentation),specialist-in-control-and-instrumentation,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-260,Specialist in Oral Health,specialist-in-oral-health,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-261,Specialist in (Crop Improvement & Protection),specialist-in-crop-improvement-protection,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-262,Specialist in (Applied Bioengineering),specialist-in-applied-bioengineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-263,Specialist in Midwifery,specialist-in-midwifery,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-264,Specialist in (Operations Research),specialist-in-operations-research,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-265,"Specialist in Engineering (Manufacturing, Industria...",specialist-in-engineering-manufacturing-industria,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-266,Specialist in (Nutraceutical Science And Technology),specialist-in-nutraceutical-science-and-technology,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-267,Specialist in (Aerospace Engineering),specialist-in-aerospace-engineering,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-268,Specialist in (Wood Science And Industrial Processes),specialist-in-wood-science-and-industrial-processes,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-269,Specialist in (Instrumentation & Control),specialist-in-instrumentation-control,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
CAR-270,Specialist in Communication & Public Relations,specialist-in-communication-public-relations,Applied practitioner path matching specific skills for high-level tasks in public and private institutions.,General Industry & Services
